approx, slicer, babai
0.800000000000000, 1.00000000000000, 1.00000000000000
0.850000000000000, 1.00000000000000, 1.00000000000000
0.900000000000000, 1.00000000000000, 1.00000000000000
0.950000000000000, 1.00000000000000, 0.960000000000000
1.00000000000000, 1.00000000000000, 0.980000000000000
1.05000000000000, 1.00000000000000, 0.970000000000000
1.10000000000000, 1.00000000000000, 0.935000000000000
1.150000000000000, 1.00000000000000, 0.915000000000000
1.200000000000000, 1.00000000000000, 0.820000000000000
1.25000000000000, 1.00000000000000, 0.775000000000000
1.30000000000000, 1.00000000000000, 0.745000000000000
1.35000000000000, 1.00000000000000, 0.725000000000000
1.400000000000000, 1.00000000000000, 0.610000000000000
1.450000000000000, 1.00000000000000, 0.580000000000000
1.50000000000000, 1.00000000000000, 0.460000000000000
1.55000000000000, 1.00000000000000, 0.450000000000000
1.60000000000000, 1.00000000000000, 0.365000000000000
